timestamp,cpu_percent,memory_percent,memory_used_gb,gpu_load,gpu_memory_percent,gpu_memory_used_gb
2025-07-16 09:11:22,0.0,53.0,16.925186157226562,17.0,12.823644357596484,1.025390625
2025-07-16 09:11:23,49.6,53.9,17.205753326416016,27.0,14.240351734245237,1.138671875
2025-07-16 09:11:24,28.5,54.6,17.429931640625,21.0,14.240351734245237,1.138671875
2025-07-16 09:11:25,32.8,55.3,17.662395477294922,20.0,14.228138739618954,1.1376953125
2025-07-16 09:11:26,33.6,56.0,17.883445739746094,19.0,14.179286761113824,1.1337890625
2025-07-16 09:11:27,27.3,56.6,18.095287322998047,19.0,14.057156814851002,1.1240234375
2025-07-16 09:11:28,26.4,57.3,18.304744720458984,19.0,13.99609184171959,1.119140625
2025-07-16 09:11:29,43.1,58.4,18.655662536621094,19.0,13.886174890083048,1.1103515625
2025-07-16 09:11:30,41.1,58.9,18.820755004882812,16.0,13.886174890083048,1.1103515625
2025-07-16 09:11:31,45.5,59.5,18.999248504638672,16.0,13.886174890083048,1.1103515625
2025-07-16 09:11:32,36.0,60.0,19.18144989013672,16.0,13.886174890083048,1.1103515625
2025-07-16 09:11:34,27.9,60.7,19.385345458984375,15.0,13.886174890083048,1.1103515625
2025-07-16 09:11:35,38.5,61.2,19.56680679321289,19.0,13.886174890083048,1.1103515625
2025-07-16 09:11:36,33.3,61.3,19.599945068359375,19.0,13.886174890083048,1.1103515625
2025-07-16 09:11:37,39.2,61.4,19.603580474853516,20.0,13.886174890083048,1.1103515625
2025-07-16 09:11:38,31.1,61.3,19.597148895263672,19.0,13.886174890083048,1.1103515625
2025-07-16 09:11:39,50.8,61.6,19.685928344726562,19.0,14.36248168050806,1.1484375
2025-07-16 09:11:40,60.0,61.5,19.64685821533203,18.0,14.36248168050806,1.1484375
2025-07-16 09:11:41,50.7,61.6,19.696929931640625,18.0,14.36248168050806,1.1484375
2025-07-16 09:11:42,53.9,61.5,19.64868927001953,20.0,14.350268685881778,1.1474609375
2025-07-16 09:11:43,55.2,61.7,19.704994201660156,19.0,14.350268685881778,1.1474609375
2025-07-16 09:11:44,57.2,61.7,19.70730209350586,20.0,14.350268685881778,1.1474609375
2025-07-16 09:11:45,53.6,61.5,19.65896224975586,20.0,14.36248168050806,1.1484375
2025-07-16 09:11:46,63.2,62.0,19.803428649902344,23.0,14.36248168050806,1.1484375
2025-07-16 09:11:47,58.2,61.8,19.736949920654297,20.0,14.36248168050806,1.1484375
2025-07-16 09:11:48,64.0,62.0,19.809947967529297,18.0,14.36248168050806,1.1484375
2025-07-16 09:11:50,56.6,62.0,19.804046630859375,21.0,14.069369809477283,1.125
2025-07-16 09:11:51,59.4,62.0,19.803321838378906,23.0,14.36248168050806,1.1484375
2025-07-16 09:11:52,54.4,62.2,19.871124267578125,22.0,14.36248168050806,1.1484375
2025-07-16 09:11:53,51.3,62.1,19.84459686279297,22.0,14.36248168050806,1.1484375
